"status","meta_product_id","name","slug","rating","review_count","genre","source_image_url","blocking_issues","warnings"
"ready","6288107037945749","Big scary","big-scary","4.9","153054","플랫폼 게임","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/499303790_1380504823537236_4294079390939079262_n.webp?stp=dst-webp_s720x720&_nc_cat=1&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=UkCISmz1SYoQ7kNvwF36hOW&_nc_oc=AdqWQkSlfGM6Ioq8RYuVkbSP579QOFew0OInGkmmg9FNvh-R51E5K1Juh3iRK_8Fe9M&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQL1Fm5FOShvfwkIgzHuFB9xe5dvfefS6Q9KTX_3D34O8g&oe=6A9901CF","",""
"ready","6458628580871969","Scary Baboon","scary-baboon","4.7","76745","플랫폼 게임","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/499622285_1060052089844981_748976379304268059_n.webp?stp=dst-webp_s720x720&_nc_cat=1&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=bc-Ycs_SjmoQ7kNvwHA7v73&_nc_oc=Ado6-Q_HnMe7OrXIMi-dTnWkP8t0Md41Lgb8S-6OB9k7KFxQBPBm0D6TdDKCJMWM7Qc&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQKqEkY2DLuWVLDzs9fEd0JQ4ctTJZFQ3b9Zx1IYdz47aA&oe=6A98F63F","",""
"ready","8369406983071517","Ruffnauts: Planet Pals","ruffnauts-planet-pals","4.8","65171","플랫폼 게임","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/499617729_4272089113106246_6240147889208878264_n.webp?stp=dst-webp_s720x720&_nc_cat=109&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=Mul-ocxQXrQQ7kNvwHGLVmh&_nc_oc=AdqUhsPQm542HaQtqLgiL9oF-6QZ0B5Rx0lxiHwdaZ8Lk3cLXT9HHjAApru_7L3W1Hg&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQJPLq63JjX6DgxadSm1_aSBvbA_jO6cfiSCXDzbB8HkVA&oe=6A990D50","",""
"ready","25607678688824431","Shark Go","shark-go","4.8","58944","플랫폼 게임","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/499619672_1552303126907266_653726335112507969_n.webp?stp=dst-webp_s720x720&_nc_cat=101&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=mMMYh4dIFmUQ7kNvwE8LfQ_&_nc_oc=AdoMWU7x1aBOHgMAMVJU4E8NzpLJc1UJHHMHDUrgAXdIPvzOhT3FeJ3ztaUXf6IVHRE&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQLb3u0B-DpY_Y2myu5RyKNYouiXc5gyruYiX0S2ouZsLA&oe=6A991A94","",""
"ready","8464137310294097","VRFS - 축구 시뮬레이터","vrfs","4.8","44646","스포츠","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/593862973_2213790852795376_2452538246767683003_n.webp?stp=dst-webp_s720x720&_nc_cat=1&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=S97mvZ1vjgcQ7kNvwFV9Eqk&_nc_oc=AdrrF8J0bPcBe6v-8gPI3I1YJGzhAiFabE_uOLmanO2vuNOPBnj3PS8cISL2mAAeV_4&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQLZYHj9i15v2ovQ6yDKTsw53-Rh9peMNb69WRpWPeZk5g&oe=6A990D2A","",""
"ready","25431670133092051","HERO x HERO","hero-x-hero","4.7","44557","슈팅 게임","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/499622153_28412414751686806_1844842261842441078_n.webp?stp=dst-webp_s720x720&_nc_cat=1&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=adlSLJCz_O4Q7kNvwGkGbi7&_nc_oc=AdrP2h9n-FFagK7TfN0GNwMR4EPnA_g7L8N49balj3Nfbl-8OK3OO1P_wLdmFSrfz18&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQJe2OPwdjwVa68S332918IZug0yCNefKY0o3sAXrfTwVw&oe=6A98F152","",""
"ready","8936648093086115","ANIMAL RIVALS","animal-rivals","4.8","39671","슈팅 게임","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/499300619_888867297443838_4929555111629074523_n.webp?stp=dst-webp_s720x720&_nc_cat=1&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=eqB6tm0HrWkQ7kNvwFlA51a&_nc_oc=AdqjsoyrIQFB-6_LD7YQY8XtyT5xLfW-asuQzE0bjpyiis1cJgeYZ_sEYR8Jjll-LbM&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQJv4qNmfEpqHv5-TAHocnKx4RR_oCvpxnVAuVoQx9DBnA&oe=6A98F964","",""
"ready","24417313747915126","Untangled","untangled","4.7","38003","격투","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/491825481_1061747293374302_2500536113909999210_n.webp?stp=dst-webp_s720x720&_nc_cat=1&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=6owctnCgyXUQ7kNvwFPgMcF&_nc_oc=AdoZFVXOsasGT31CT0CJrbf5WbnDCFTZL4aNl1emSwVoW8M5gOPlDrztV9jRkOTxhFc&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQKNDWC-SSOz4iC-JVGYTo9fkc6jiTkZj0a74wo5_teZQw&oe=6A991766","",""
"ready","5981971501867491","Derby Baseball","derby-baseball","4.9","34119","스포츠","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/39036604_804865348128943_6099239720149729285_n.webp?stp=dst-webp_s720x720&_nc_cat=102&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=kaIgydUCzgYQ7kNvwHhtJ73&_nc_oc=AdqMDJJNyOumXOE_c_dCgCzgGsIXz0pMUMuA_uGNtWMMrrNvZ5C1sKdJHqeCK7A91Ao&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQIMHS0hx5SOKwgroysuAJLTSV4sFolY22O3XuVB8ddYKg&oe=6A990263","",""
"ready","6859397944122034","DigiGods","digigods","4.8","32256","액션","https://scontent-ssn1-1.oculuscdn.com/v/t64.5771-25/491820382_2005048423610307_1514960901073854834_n.webp?stp=dst-webp_s720x720&_nc_cat=102&ccb=1-7&_nc_sid=6e7a0a&_nc_ohc=H3p_G3PNDdoQ7kNvwFmroxd&_nc_oc=AdqcabjQuSulQzmLVs0ziOEQAVxUBHuNU6xQ2jHWpVvgrrsJNYzddvVwSc4K00tLVx0&_nc_zt=3&_nc_ht=scontent-ssn1-1.oculuscdn.com&_nc_ss=7d289&oh=00_AQLYRpVmmxgkpCN8zfV1jm3cCXcav2CGjVs6ykvXSSZKQw&oe=6A98F276","",""
